group,framing_type,crisis_name,mentions_per_article,raw_count,outlet
Israel,victim,Gaza and the Occupied Palestinian Territories,0.0860215054,8,IRNA (Islamic Iranian News Agency)
Israel,causor,Gaza and the Occupied Palestinian Territories,0.7849462366,73,IRNA (Islamic Iranian News Agency)
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.7311827957,68,IRNA (Islamic Iranian News Agency)
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0430107527,4,IRNA (Islamic Iranian News Agency)
Russia,victim,Ukraine,0.0,0,Birmigham Live
Russia,causor,Ukraine,0.5454545455,6,Birmigham Live
Ukraine,victim,Ukraine,0.5454545455,6,Birmigham Live
Ukraine,causor,Ukraine,0.0,0,Birmigham Live
Israel,victim,Gaza and the Occupied Palestinian Territories,0.25,7,Birmigham Live
Israel,causor,Gaza and the Occupied Palestinian Territories,0.3571428571,10,Birmigham Live
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.6428571429,18,Birmigham Live
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0,0,Birmigham Live
Russia,victim,Ukraine,0.0,0,Channel 4
Russia,causor,Ukraine,1.0,5,Channel 4
Ukraine,victim,Ukraine,1.0,5,Channel 4
Ukraine,causor,Ukraine,0.0,0,Channel 4
Israel,victim,Gaza and the Occupied Palestinian Territories,0.3333333333,7,Channel 4
Israel,causor,Gaza and the Occupied Palestinian Territories,0.2857142857,6,Channel 4
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.4761904762,10,Channel 4
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0,0,Channel 4
Russia,victim,Ukraine,0.0,0,Buzzfeed
Russia,causor,Ukraine,0.5294117647,9,Buzzfeed
Ukraine,victim,Ukraine,0.5294117647,9,Buzzfeed
Ukraine,causor,Ukraine,0.0,0,Buzzfeed
Israel,victim,Gaza and the Occupied Palestinian Territories,0.0813953488,7,Buzzfeed
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1046511628,9,Buzzfeed
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.1511627907,13,Buzzfeed
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0,0,Buzzfeed
Russia,victim,Ukraine,0.0,0,Manchester Evening News
Russia,causor,Ukraine,0.575,23,Manchester Evening News
Ukraine,victim,Ukraine,0.65,26,Manchester Evening News
Ukraine,causor,Ukraine,0.0,0,Manchester Evening News
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4181818182,23,Manchester Evening News
Israel,causor,Gaza and the Occupied Palestinian Territories,0.2181818182,12,Manchester Evening News
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.6,33,Manchester Evening News
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0,0,Manchester Evening News
Russia,victim,Ukraine,0.0151515152,1,News.com.au
Russia,causor,Ukraine,0.6818181818,45,News.com.au
Ukraine,victim,Ukraine,0.6212121212,41,News.com.au
Ukraine,causor,Ukraine,0.0454545455,3,News.com.au
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4964028777,69,News.com.au
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1223021583,17,News.com.au
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.2805755396,39,News.com.au
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0503597122,7,News.com.au
Russia,victim,Ukraine,0.0,0,Daily Record
Russia,causor,Ukraine,0.6741573034,60,Daily Record
Ukraine,victim,Ukraine,0.7865168539,70,Daily Record
Ukraine,causor,Ukraine,0.0,0,Daily Record
Israel,victim,Gaza and the Occupied Palestinian Territories,0.1724137931,20,Daily Record
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1120689655,13,Daily Record
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.2413793103,28,Daily Record
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0344827586,4,Daily Record
Russia,victim,Ukraine,0.1666666667,1,Reuters
Russia,causor,Ukraine,0.8333333333,5,Reuters
Ukraine,victim,Ukraine,0.8333333333,5,Reuters
Ukraine,causor,Ukraine,0.0,0,Reuters
Israel,victim,Gaza and the Occupied Palestinian Territories,0.5714285714,8,Reuters
Israel,causor,Gaza and the Occupied Palestinian Territories,0.2857142857,4,Reuters
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.8571428571,12,Reuters
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.2142857143,3,Reuters
Russia,victim,Ukraine,0.037037037,1,Sydney Morning Herald 
Russia,causor,Ukraine,0.7777777778,21,Sydney Morning Herald 
Ukraine,victim,Ukraine,0.6666666667,18,Sydney Morning Herald 
Ukraine,causor,Ukraine,0.0740740741,2,Sydney Morning Herald 
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4684684685,52,Sydney Morning Herald 
Israel,causor,Gaza and the Occupied Palestinian Territories,0.2702702703,30,Sydney Morning Herald 
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.4594594595,51,Sydney Morning Herald 
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.027027027,3,Sydney Morning Herald 
Russia,victim,Ukraine,0.0279069767,12,CNBC
Russia,causor,Ukraine,0.9465116279,407,CNBC
Ukraine,victim,Ukraine,0.8674418605,373,CNBC
Ukraine,causor,Ukraine,0.0186046512,8,CNBC
Israel,victim,Gaza and the Occupied Palestinian Territories,0.5820895522,117,CNBC
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1741293532,35,CNBC
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.5422885572,109,CNBC
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.039800995,8,CNBC
Russia,victim,Ukraine,0.0152671756,2,ITV
Russia,causor,Ukraine,0.5190839695,68,ITV
Ukraine,victim,Ukraine,0.4961832061,65,ITV
Ukraine,causor,Ukraine,0.0,0,ITV
Israel,victim,Gaza and the Occupied Palestinian Territories,0.375,90,ITV
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1916666667,46,ITV
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.3875,93,ITV
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0083333333,2,ITV
Russia,victim,Ukraine,0.0268691589,23,ABC News
Russia,causor,Ukraine,0.839953271,719,ABC News
Ukraine,victim,Ukraine,0.7675233645,657,ABC News
Ukraine,causor,Ukraine,0.0292056075,25,ABC News
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4314285714,604,ABC News
Israel,causor,Gaza and the Occupied Palestinian Territories,0.2542857143,356,ABC News
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.565,791,ABC News
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0392857143,55,ABC News
Russia,victim,Ukraine,0.0066445183,2,Forbes
Russia,causor,Ukraine,0.7475083056,225,Forbes
Ukraine,victim,Ukraine,0.5813953488,175,Forbes
Ukraine,causor,Ukraine,0.0299003322,9,Forbes
Israel,victim,Gaza and the Occupied Palestinian Territories,0.5785714286,81,Forbes
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1142857143,16,Forbes
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.2857142857,40,Forbes
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0214285714,3,Forbes
Russia,victim,Ukraine,0.0289256198,21,Metro
Russia,causor,Ukraine,0.8126721763,590,Metro
Ukraine,victim,Ukraine,0.7148760331,519,Metro
Ukraine,causor,Ukraine,0.023415978,17,Metro
Israel,victim,Gaza and the Occupied Palestinian Territories,0.3846153846,125,Metro
Israel,causor,Gaza and the Occupied Palestinian Territories,0.2307692308,75,Metro
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.4307692308,140,Metro
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0430769231,14,Metro
Russia,victim,Ukraine,0.0,0,The Globe and Mail
Russia,causor,Ukraine,0.8860759494,70,The Globe and Mail
Ukraine,victim,Ukraine,0.7215189873,57,The Globe and Mail
Ukraine,causor,Ukraine,0.0,0,The Globe and Mail
Israel,victim,Gaza and the Occupied Palestinian Territories,0.512254902,209,The Globe and Mail
Israel,causor,Gaza and the Occupied Palestinian Territories,0.3210784314,131,The Globe and Mail
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.6740196078,275,The Globe and Mail
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0441176471,18,The Globe and Mail
Russia,victim,Ukraine,0.0493273543,11,Mirror
Russia,causor,Ukraine,0.6233183857,139,Mirror
Ukraine,victim,Ukraine,0.5201793722,116,Mirror
Ukraine,causor,Ukraine,0.0134529148,3,Mirror
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4217252396,132,Mirror
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1661341853,52,Mirror
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.3961661342,124,Mirror
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0287539936,9,Mirror
Russia,victim,Ukraine,0.0351758794,7,Daily Express
Russia,causor,Ukraine,0.7537688442,150,Daily Express
Ukraine,victim,Ukraine,0.6180904523,123,Daily Express
Ukraine,causor,Ukraine,0.0150753769,3,Daily Express
Israel,victim,Gaza and the Occupied Palestinian Territories,0.3655913978,102,Daily Express
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1433691756,40,Daily Express
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.3046594982,85,Daily Express
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0322580645,9,Daily Express
Russia,victim,Ukraine,0.0316301703,26,The Telegraph
Russia,causor,Ukraine,0.7433090024,611,The Telegraph
Ukraine,victim,Ukraine,0.6070559611,499,The Telegraph
Ukraine,causor,Ukraine,0.0316301703,26,The Telegraph
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4616588419,295,The Telegraph
Israel,causor,Gaza and the Occupied Palestinian Territories,0.2097026604,134,The Telegraph
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.3536776213,226,The Telegraph
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0297339593,19,The Telegraph
Russia,victim,Ukraine,0.0269058296,6,The Evening Standard
Russia,causor,Ukraine,0.8475336323,189,The Evening Standard
Ukraine,victim,Ukraine,0.8116591928,181,The Evening Standard
Ukraine,causor,Ukraine,0.0134529148,3,The Evening Standard
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4467592593,193,The Evening Standard
Israel,causor,Gaza and the Occupied Palestinian Territories,0.2037037037,88,The Evening Standard
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.4375,189,The Evening Standard
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.025462963,11,The Evening Standard
Russia,victim,Ukraine,0.0325732899,20,NBC News
Russia,causor,Ukraine,0.7312703583,449,NBC News
Ukraine,victim,Ukraine,0.6872964169,422,NBC News
Ukraine,causor,Ukraine,0.0211726384,13,NBC News
Israel,victim,Gaza and the Occupied Palestinian Territories,0.3535253227,356,NBC News
Israel,causor,Gaza and the Occupied Palestinian Territories,0.3714001986,374,NBC News
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.6027805362,607,NBC News
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0198609732,20,NBC News
Russia,victim,Ukraine,0.0192023634,13,CBS News
Russia,causor,Ukraine,0.4741506647,321,CBS News
Ukraine,victim,Ukraine,0.4579025111,310,CBS News
Ukraine,causor,Ukraine,0.0310192024,21,CBS News
Israel,victim,Gaza and the Occupied Palestinian Territories,0.3261608154,288,CBS News
Israel,causor,Gaza and the Occupied Palestinian Territories,0.167610419,148,CBS News
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.3465458664,306,CBS News
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0226500566,20,CBS News
Russia,victim,Ukraine,0.0263424519,26,Sky News
Russia,causor,Ukraine,0.7152988855,706,Sky News
Ukraine,victim,Ukraine,0.6676798379,659,Sky News
Ukraine,causor,Ukraine,0.0141843972,14,Sky News
Israel,victim,Gaza and the Occupied Palestinian Territories,0.2560296846,276,Sky News
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1920222635,207,Sky News
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.3729128015,402,Sky News
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0231910946,25,Sky News
Russia,victim,Ukraine,0.0281195079,16,New York Post
Russia,causor,Ukraine,0.834797891,475,New York Post
Ukraine,victim,Ukraine,0.7609841828,433,New York Post
Ukraine,causor,Ukraine,0.0123022847,7,New York Post
Israel,victim,Gaza and the Occupied Palestinian Territories,0.7528795812,719,New York Post
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1528795812,146,New York Post
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.2670157068,255,New York Post
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0827225131,79,New York Post
Russia,victim,Ukraine,0.0186915888,14,The Independent
Russia,causor,Ukraine,0.8838451268,662,The Independent
Ukraine,victim,Ukraine,0.7997329773,599,The Independent
Ukraine,causor,Ukraine,0.0146862483,11,The Independent
Israel,victim,Gaza and the Occupied Palestinian Territories,0.5372279496,469,The Independent
Israel,causor,Gaza and the Occupied Palestinian Territories,0.3894616266,340,The Independent
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.686139748,599,The Independent
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0366552119,32,The Independent
Russia,victim,Ukraine,0.0153846154,4,AP News
Russia,causor,Ukraine,0.4961538462,129,AP News
Ukraine,victim,Ukraine,0.4346153846,113,AP News
Ukraine,causor,Ukraine,0.0269230769,7,AP News
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4983957219,466,AP News
Israel,causor,Gaza and the Occupied Palestinian Territories,0.4331550802,405,AP News
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.7764705882,726,AP News
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0427807487,40,AP News
Russia,victim,Ukraine,0.0241935484,18,Washington Post
Russia,causor,Ukraine,0.8279569892,616,Washington Post
Ukraine,victim,Ukraine,0.7607526882,566,Washington Post
Ukraine,causor,Ukraine,0.0107526882,8,Washington Post
Israel,victim,Gaza and the Occupied Palestinian Territories,0.5026567481,473,Washington Post
Israel,causor,Gaza and the Occupied Palestinian Territories,0.5430393199,511,Washington Post
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.8289054198,780,Washington Post
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0318809777,30,Washington Post
Russia,victim,Ukraine,0.0367063492,37,Mail Online
Russia,causor,Ukraine,0.8621031746,869,Mail Online
Ukraine,victim,Ukraine,0.814484127,821,Mail Online
Ukraine,causor,Ukraine,0.0188492063,19,Mail Online
